spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_amazon_micro_2_7_10286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.005,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.01,5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.03,0.025
1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.005,5.01,5.01
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.01,5.02,5.02
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,4.985,2.08,2.01
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.005
1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.025,5.02,5.02
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.025,0.01,0.01
1,1,0,1,0,0,0,0,0,0,0,0,0,0,5.03,5.02,5.02
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.02,0.005,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0,5.03,5.02,5.02
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01
1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.025,5.02,5.02
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.065,0.06
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.02,0.02
1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5.015
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.15,0.07,0.065
1,0,1,0,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.05,0.02,0.02
1,1,1,0,1,0,0,0,0,0,0,0,0,0,5.015,5.01,5.01
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15,0.07,0.07
1,0,0,1,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.05,0.02,0.02
1,1,0,1,1,0,0,0,0,0,0,0,0,0,5.015,5.01,5.01
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.15,0.07,0.07
1,0,1,1,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.05,0.02,0.02
1,1,1,1,1,0,0,0,0,0,0,0,0,0,5.015,5.01,5.01
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0.02,0.01
1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,5
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.07,0.025,0.03
1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,5.01,5
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.04,0.02,0.01
1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5.005,5
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.07,0.03,0.03
1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,5.01,5
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.035,0.015,0.015
1,0,0,1,0,1,0,0,0,0,0,0,0,0,5.005,5,5
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.08,0.04,0.03
1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,5,5.005
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.04,0.015,0.01
1,0,1,1,0,1,0,0,0,0,0,0,0,0,5,5,5.005
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.075,0.03,0.03
1,1,1,1,0,1,0,0,0,0,0,0,0,0,5.01,5,5
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.04,0.02,0.02
1,0,0,0,1,1,0,0,0,0,0,0,0,0,5.005,5.01,5
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.1,0.045,0.04
1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.01,5.005,5
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.035,0.015,0.015
1,0,1,0,1,1,0,0,0,0,0,0,0,0,5.005,5.01,5
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.095,0.045,0.04
1,1,1,0,1,1,0,0,0,0,0,0,0,0,5.005,5.005,5
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.035,0.02,0.01
1,0,0,1,1,1,0,0,0,0,0,0,0,0,5.005,5.01,5
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.105,0.04,0.04
1,1,0,1,1,1,0,0,0,0,0,0,0,0,5,5.01,5
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.035,0.02,0.01
1,0,1,1,1,1,0,0,0,0,0,0,0,0,5,5.005,5
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.105,0.045,0.04
1,1,1,1,1,1,0,0,0,0,0,0,0,0,5.01,5.005,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04,0.02,0.02
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.06,0.03,0.02
1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.01,4.18,3.835
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.03,0.01,0.01
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.535,0.23,0.24
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.1,0.04,0.04
1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.01,5.01,5.01
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.025,0.01,0.01
1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.04,5.02,5.02
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.03,0.01,0.01
1,1,0,1,0,0,1,0,0,0,0,0,0,0,5.025,5.04,5.045
