,,,,,,,,,,,,inference_time,inference_time,inference_time
0,0,0,0,0,0,0,0,0,0,0,0,0.754074335,0.679727793,1.704458952
0,0,0,0,0,0,0,0,0,0,0,1,0.753936291,0.686099052,1.103607893
0,0,0,0,0,0,0,0,0,0,1,0,0.752385139,0.685323715,1.09162426
0,0,0,0,0,0,0,0,0,0,1,1,0.751878262,0.721997499,1.111213923
0,0,0,0,0,0,0,0,0,1,0,0,0.753621101,0.722137213,1.106866121
0,0,0,0,0,0,0,0,0,1,0,1,0.752740145,0.680427313,1.092324257
0,0,0,0,0,0,0,0,0,1,1,0,0.75092268,0.678666592,1.095468283
0,0,0,0,0,0,0,0,0,1,1,1,0.753446817,0.679200411,1.114732504
0,0,0,0,0,0,0,0,1,0,0,0,0.751140118,0.719348669,1.109657764
0,0,0,0,0,0,0,0,1,0,0,1,0.745286226,0.6765728,1.10283947
0,0,0,0,0,0,0,0,1,0,1,0,0.758438349,0.67714119,1.082863569
0,0,0,0,0,0,0,0,1,0,1,1,0.755557299,0.684752941,1.076675415
0,0,0,0,0,0,0,0,1,1,0,0,0.753328323,0.680116177,1.088349819
0,0,0,0,0,0,0,0,1,1,0,1,0.749345303,0.682921886,1.125673532
0,0,0,0,0,0,0,0,1,1,1,0,0.752251625,0.678163767,1.101745129
0,0,0,0,0,0,0,0,1,1,1,1,0.753036261,0.687161684,1.101543427
0,0,0,0,0,0,0,1,0,0,0,0,0.752339363,0.684743166,1.094360113
0,0,0,0,0,0,0,1,0,0,0,1,0.750568867,0.684296608,1.106528759
0,0,0,0,0,0,0,1,0,0,1,0,0.746831656,0.678321123,1.119951248
0,0,0,0,0,0,0,1,0,0,1,1,0.746978045,0.682817936,1.108624458
0,0,0,0,0,0,0,1,0,1,0,0,0.751072168,0.746605635,1.105494022
0,0,0,0,0,0,0,1,0,1,0,1,0.751964092,0.679578781,1.115742207
0,0,0,0,0,0,0,1,0,1,1,0,0.752413988,0.690286875,1.085947514
0,0,0,0,0,0,0,1,0,1,1,1,0.749506712,0.681088686,1.093610764
0,0,0,0,0,0,0,1,1,0,0,0,0.752099037,0.68322587,1.092025995
0,0,0,0,0,0,0,1,1,0,0,1,0.752708673,0.685519695,1.099935532
0,0,0,0,0,0,0,1,1,0,1,0,0.753712416,0.685671806,1.090123892
0,0,0,0,0,0,0,1,1,0,1,1,0.755678415,0.678761959,1.0855124
0,0,0,0,0,0,0,1,1,1,0,0,0.754803419,0.681742668,1.105909586
0,0,0,0,0,0,0,1,1,1,0,1,0.753417015,0.678607225,1.083545923
0,0,0,0,0,0,0,1,1,1,1,0,0.752834082,0.683238983,1.103518724
0,0,0,0,0,0,0,1,1,1,1,1,0.752597094,0.685159206,1.097036362
0,0,0,0,0,0,1,0,0,0,0,0,0.854955435,0.773221016,1.243744135
0,0,0,0,0,0,1,0,0,0,0,1,0.85898304,0.82490921,1.240280151
0,0,0,0,0,0,1,0,0,0,1,0,0.852948189,0.795548916,1.256453753
0,0,0,0,0,0,1,0,0,0,1,1,0.853163481,0.768572807,1.246120453
0,0,0,0,0,0,1,0,0,1,0,0,0.850178719,0.775713444,1.245904922
