root,opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,performance,performance,performance,performance
1,0,0,0,0,0,1,0,0,0,0,9374.6,9356,9356.8,9326.8
1,0,0,0,0,0,0,1,0,0,0,8280.8,8283.6,8258.4,8318.8
1,0,0,0,0,0,0,2,0,0,0,8261,8310.4,8250.8,8329.6
1,0,0,0,0,0,0,3,0,0,0,8106.2,8082,8089.6,8057.6
1,0,0,0,0,0,0,4,0,0,0,8109.2,8102.4,8137.6,8127
1,0,0,0,0,0,0,1,8,0,0,10079.2,10573.4,10921.4,10963
1,0,0,0,0,0,0,2,8,0,0,10262.2,10650.4,10840.4,10859.6
1,0,0,0,0,0,0,3,8,0,0,9309.8,9019.2,8939,8572.2
1,0,0,0,0,0,0,4,8,0,0,9277,8958.4,8553.8,8509.6
1,0,0,0,0,0,0,1,10,0,0,9640.6,10059.4,10457.8,10604.4
1,0,0,0,0,0,0,2,10,0,0,9146.8,10162,10357.4,10549.8
1,0,0,0,0,0,0,3,10,0,0,8839.2,8480.4,8490,8251.6
1,0,0,0,0,0,0,4,10,0,0,8880,8420,8399.8,8207.8
1,0,0,0,0,0,0,1,16,0,0,8967.4,9336.4,9021.8,9508
1,0,0,0,0,0,0,2,16,0,0,8661.2,9373.6,8949.8,9387.2
1,0,0,0,0,0,0,3,16,0,0,7931.4,7520.2,7512.4,7564.6
1,0,0,0,0,0,0,4,16,0,0,7878.2,7486.4,7552.2,7536.8
1,0,0,0,0,0,0,1,20,0,0,8764.6,9121.8,8640,9132.6
1,0,0,0,0,0,0,2,20,0,0,8065.4,9143.8,8866.4,8369
1,0,0,0,0,0,0,3,20,0,0,7625.6,7222.8,7248,7288.4
1,0,0,0,0,0,0,4,20,0,0,7575.6,7181.4,7282.2,7224.2
1,0,0,0,0,0,0,1,32,0,0,8426.2,8842.6,7867.4,8634.6
1,0,0,0,0,0,0,2,32,0,0,7786.8,8845,7835.8,8523
