0,1,2,3,4,5,6,7,8,9,10,11,task0,task1,task2
4,1,2,10,1,1,1000,10,1024,100,2,0,30.95,191.2583333,628.725
4,1,2,10,1,1,1000,1000,1024,10000,5,0,96.25,191.4083333,655.0083333
2,1,2,1000000,1,0,1,1000,512,10000,2,0,12.3,1.108333333,1.466666667
2,1,2,1000000,10,1,1,1000,512,10000,2,0,0,1.841666667,5.8
4,10,2,1000000,10,1,1000,1000,512,10000,5,0,44.73333333,2705.475,18767.525
2,10,4,10,10,0,1,10,1024,100,5,29,1.375,1.958333333,6.383333333
4,10,4,1000000,10,1,1,1000,512,10000,5,0,822.0833333,4.216666667,13.34166667
2,10,2,1000000,1,1,1,1000,512,10000,2,29,6.525,1.133333333,1.766666667
4,10,2,10,10,1,1000,1000,512,10000,5,0,1774.466667,4355.566667,20876
2,1,2,1000000,1,1,1000,10,512,100,2,0,1792.666667,99.74166667,315.875
2,1,4,1000000,1,1,1,10,512,100,2,29,11.8,1.108333333,1.541666667
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,682.375,118.025,300.3333333
4,10,4,10,1,1,1,1000,512,10000,5,0,1.241666667,1.258333333,3.116666667
2,10,2,10,1,1,1,10,512,100,2,29,1.1,1.116666667,1.433333333
4,10,2,10,1,0,1000,10,512,100,5,29,85.15833333,183.6583333,491.8583333
2,10,2,10,1,0,1,10,512,100,2,0,1.1,1.1,1.608333333
2,10,2,10,1,1,1,1000,512,10000,2,0,1.1,1.116666667,1.558333333
4,1,4,10,1,1,1,10,512,100,5,29,1.241666667,1.266666667,2.991666667
4,1,2,10,10,1,1,10,1024,100,5,29,2.441666667,3.375,13.50833333
2,10,4,1000000,1,1,1,1000,1024,10000,5,0,15.5,1.116666667,1.566666667
2,10,2,1000000,10,1,1,1000,512,10000,5,0,0,1.908333333,5.6
2,10,4,10,10,1,1,1000,512,10000,5,29,1.391666667,1.991666667,6.291666667
4,10,4,1000000,1,0,1,1000,1024,10000,5,29,18.59166667,1.266666667,2.733333333
4,1,4,10,10,1,1,10,1024,100,5,0,2.7,4.275,13.71666667
2,1,4,10,1,0,1,10,512,100,2,0,1.1,1.108333333,1.45
4,10,2,1000000,10,0,1,10,512,100,5,29,2.541666667,3.333333333,20.63333333
4,1,2,1000000,10,1,1000,10,512,100,5,0,0,4398.866667,18879.65833
2,1,4,1000000,1,0,1000,10,1024,100,2,0,151.95,124.2916667,264.0916667
2,10,4,10,1,0,1,10,512,100,5,29,1.125,1.125,1.45
2,10,2,1000000,1,1,1000,1000,512,10000,5,29,0,112.3583333,250.7833333
4,1,4,1000000,10,1,1,1000,512,10000,2,0,36.99166667,4.25,16.76666667
2,10,4,10,10,0,1,10,512,100,5,0,1.416666667,1.916666667,5.741666667
2,10,2,10,1,0,1000,1000,512,10000,5,29,59.675,100.7166667,300.7
2,1,2,10,10,1,1000,1000,512,10000,5,0,595.5416667,1478.233333,15215.29167
2,10,4,10,1,0,1,1000,1024,10000,5,29,1.116666667,1.158333333,1.508333333
2,1,4,1000000,10,1,1,1000,1024,10000,2,29,0,1.95,5.85
2,1,2,10,10,0,1000,1000,512,10000,2,0,393.2166667,1516.791667,20778.75
4,1,2,10,1,0,1000,10,512,100,2,0,33.05,210.8916667,921.4916667
2,10,2,10,1,0,1000,10,512,100,5,29,53.39166667,96.85833333,319.9833333
2,10,4,1000000,10,0,1,1000,512,10000,2,29,0,1.966666667,5.741666667
4,10,4,1000000,10,1,1,1000,512,10000,2,0,80.3,4.283333333,14.6
4,10,2,10,1,0,1,1000,1024,10000,2,29,1.183333333,1.283333333,2.775
4,10,4,10,10,1,1000,10,1024,100,5,0,2024.625,5037.75,18055.25
4,10,4,10,1,0,1,10,512,100,5,29,1.25,3.758333333,2.9
2,10,2,10,10,0,1,10,1024,100,2,0,1.116666667,1.85,5.75
4,10,2,10,10,1,1000,10,512,100,2,0,525.3583333,4842.575,17392.88333
2,10,4,10,10,0,1,1000,1024,10000,2,0,1.125,2,5.933333333
